name,description,sector,close,Perf.5Y,Volatility.W,Volatility.M,market_cap_basic,debt_to_equity_fq,RSI
MOIN,MOHANDES INSURANCE,Finance,21.43,346.4900741,8.307533401,9.042100411,3059233801.0,0.0,59.46756175
MOSC,MISR OILS & SOAP,Process Industries,50.1,150.5,1.344869734,4.764439774,300599991.0,0.0,47.49288565
MTIE,MM GROUP FOR INDUSTRY AND INTERNATIONAL TRADE,Distribution Services,7.3,58.56108207,3.627767483,4.927859167,8773681917.0,0.144188529,44.34546605
NCCW,NASR COMPANY FOR CIVIL WORKS,Industrial Services,5.11,377.2516284,4.193331253,6.404621335,772500014.0,0.056359849,46.09475736
NDRL,NATIONAL DRILLING,Industrial Services,4.69,-5.443548387,-3.55271e-15,-1.77636e-15,1094357970.0,0.0,51.92919502
NEDA,NORTHERN UPPER EGYPT DEVELOPMENT & AGRICULTURAL PRODUCTION,Process Industries,1.758,290.6666667,8.55865737,6.549576187,115754211.0,0.0,41.63966869
NIPH,EL-NILE CO. FOR PHARMACEUTICALS AND CHEMICAL INDUSTRIES,Health Technology,72.59,245.6666667,3.192700977,4.655762496,740947503.0,0.434289779,37.46499308
OBRI,EL OBOUR REAL ESTATE INVESTMENT,Finance,5.49,286.2247899,7.716274551,7.544560667,225599995.0,0.863304618,37.26960681
OCPH,OCTOBER PHARMA,Health Technology,100.0,177.0850651,2.040816327,4.528107265,1200000000.0,0.640522317,52.77941817
ODIN,ODIN INVESTMENTS,Finance,1.952,-15.17013442,3.334132119,6.982946332,206023994.0,0.018947758,34.83468637
OFH,ORASCOM FINANCIAL HOLDING,Finance,0.278,-41.84100418,3.952815251,5.642075612,1484530000.0,0.003187049,22.87719135
OLFI,OBOUR LAND FOR FOOD INDUSTRIES,Consumer Non-Durables,9.27,9.704142012,11.36748006,6.478519333,3843999863.0,0.837893193,25.95836356
PHAR,EGYPTIAN INTERNATIONAL PHARMACEUTICALS (EIPICO),Health Technology,34.49,-38.57436026,4.644840888,5.453693876,5221326688.0,1.155141049,27.71202221
PRDC,PIONEERS PROPERTIES FOR URBAN DEVELOPMENT(PREDCO),Finance,2.4,-39.84962406,5.403643799,5.019231277,2615920000.0,1.863229773,27.67893267
PRMH,PRIME HOLDING,Finance,0.601,-24.875,4.373956594,6.761501086,209649992.0,0.570877516,35.91848559
RACC,RAYA CONTACT CENTER,Commercial Services,5.46,-18.50746269,4.303979563,4.991963158,1175286703.0,0.991943265,39.42061587
REAC,REACAP FINANCIAL INVESTMENTS,Finance,4.52,-5.080006341,4.490595611,5.99261662,529610540.0,0.02371216,47.24796865
RKAZ,REKAZ FINANCIAL HOLDING,Process Industries,3.32,1108.472411,-8.88178e-16,4.474316643,66399999.0,0.0,60.35085741
RMDA,TENTH OF RAMADAN PHARMACEUTICAL INDUSTRIES&DIAGNOSTIC-RAMEDA,Health Technology,2.06,1532.273631,4.663351359,7.112339339,3176799870.0,0.673599225,30.79540477
ROTO,ROWAD TOURISM (AL ROWAD),Finance,35.81,344.292804,4.549938349,6.169722324,652481718.0,0.662168294,60.31386762
RREI,ARAB REAL ESTATE INVESTMENT CO.-ALICO,Finance,0.926,97.44136461,4.530039263,6.941483237,234326388.0,0.00143533,32.81753728
RTVC,REMCO FOR TOURISTIC VILLAGES CONSTRUCTION,Finance,2.08,-25.17985612,4.292271948,5.014567984,528147330.0,0.605731217,30.166884
SCFM,SOUTH CAIRO & GIZA MILLS & BAKERIES,Process Industries,36.98,63.62831858,15.66242815,16.06354485,247919998.0,0.0,51.91415194
SCTS,SUES CANAL COMPANY FOR TECHNOLOGY SETTLING,Commercial Services,82.5,312.5,6.908625355,6.950092336,7691049185.0,0.040701409,51.92210113
SDTI,SHARM DREAMS CO. FOR TOURISM INVESTMENT,Consumer Services,14.76,350.0,5.431677694,7.08937726,812267131.0,2.422174946,44.46642451
