,name,description,recommendation_mark,sector.tr,market,sector,logoid,update_mode,type,typespecs,gross_margin_ttm,operating_margin_ttm,pre_tax_margin_ttm,net_margin_ttm,free_cash_flow_margin_ttm,return_on_assets_fq,return_on_equity_fq,return_on_invested_capital_fq,research_and_dev_ratio_ttm,sell_gen_admin_exp_other_ratio_ttm,close,pricescale,minmov,fractional,minmove2,currency,change,Perf.W,Perf.1M,Perf.3M,Perf.6M,Perf.YTD,Perf.Y,Perf.5Y,Perf.All,Volatility.W,Volatility.M,market_cap_basic,fundamental_currency_code,Perf.1Y.MarketCap,price_earnings_ttm,price_earnings_growth_ttm,price_sales_current,price_book_fq,price_to_cash_f_operating_activities_ttm,price_free_cash_flow_ttm,price_to_cash_ratio,enterprise_value_current,enterprise_value_to_revenue_ttm,enterprise_value_to_ebit_ttm,enterprise_value_ebitda_ttm,dps_common_stock_prim_issue_fy,dps_common_stock_prim_issue_fq,dividends_yield_current,dividends_yield,dividend_payout_ratio_ttm,dps_common_stock_prim_issue_yoy_growth_fy,continuous_dividend_payout,continuous_dividend_growth,total_revenue_ttm,total_revenue_yoy_growth_ttm,gross_profit_ttm,oper_income_ttm,net_income_ttm,ebitda_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,total_assets_fq,total_current_assets_fq,cash_n_short_term_invest_fq,total_liabilities_fq,total_debt_fq,net_debt_fq,total_equity_fq,current_ratio_fq,quick_ratio_fq,debt_to_equity_fq,cash_n_short_term_invest_to_total_debt_fq,cash_f_operating_activities_ttm,cash_f_investing_activities_ttm,cash_f_financing_activities_ttm,free_cash_flow_ttm,capital_expenditures_ttm,Recommend.All,Recommend.MA,Recommend.Other,RSI,Mom,AO,CCI20,Stoch.K,Stoch.D,MACD.macd,MACD.signal,volume,relative_volume_10d_calc
85,ELEC,ELECTRO CABLE EGYPT,,Producer Manufacturing,egypt,Producer Manufacturing,electro-cable-egypt,delayed_streaming_900,stock,['common'],,,,,,,,,,,2.62,1000,1,false,0,EGP,3.1496063,23.58490566,-1.5037594,80.31658637,261.3793103,116.3501239,385.1851852,809.0909091,11534.40783,8.15550415,9.31772425,8681475163,EGP,369.3290331,,,,3.56094379,,,5.52611171,10655437133,,,,,0,0,,,,0,0,,,,,,,,,8062041461,7085799887,1661327003,5623211847,3634433974,1973106971,2438829614,1.37610293,0.99259741,1.49075956,0.45710749,,,,,,0.49090909,0.8,0.18181818,53.77391381,0.22,-0.28664706,48.96421846,74.81383421,51.97913125,-0.09412218,-0.13388903,5799972,2.02854484
86,ELKA,EL KAHERA HOUSING,,Finance,egypt,Finance,el-kahera-housing,delayed_streaming_900,stock,['common'],,,,,,,,,,,1.483,1000,1,false,0,EGP,0.13504389,1.57534247,-12.76470588,4.43661972,56.59978881,12.26343679,49.64682139,16.95583596,8341.047282,3.99301104,6.18555556,1335115320,EGP,50.55837753,,,,1.4163332,,,916.5679616,2640956968,,,,,0,0,,,,0,0,,,,,,,,,2863318480,,26435071,1611482682,1020793695,994358624,1251835798,,,1.08554334,0.02589659,,,,,,-0.33333333,-0.66666667,0,36.08007195,-0.131,-0.18479706,-91.72342621,22.60981912,23.88096139,-0.07011075,-0.06727385,270115,0.61404119
87,ELNA,EL NASR FOR MANUFACTURING AGRICULTURAL CROPS,,Process Industries,egypt,Process Industries,el-nasr-for-manufacturing-agricultural-crops,delayed_streaming_900,stock,['common'],,,,,,,,,,,13.54,1000,1,false,0,EGP,-0.14749263,0,-4.58069063,-24.44196429,-33.36614173,-22.67275842,-33.36614173,-41.0791993,42.52631579,3.49755045,5.31133891,107205791,EGP,-32.9232267,,,,3.67999783,,,2638.633709,107430160,,,,,0,0,,,,0,0,,,,,,,,,65436463,1505444,40361,36496779,264730,224369,28939684,0.05114883,0.04748922,0.00914765,0.152461,,,,,,-0.4,-0.8,0,42.42668223,-0.27,-0.68702941,-37.3355961,42.77777778,46.04201216,-0.33968838,-0.41151499,3654,0.22113156
88,ELSH,EL SHAMS HOUSING & URBANIZATION,,Finance,egypt,Finance,el-shams-housing-and-urbanization,delayed_streaming_900,stock,['common'],,,,,,,,,,,6.46,1000,1,false,0,EGP,0.31055901,6.25,-17.91613723,-27.57847534,2.21518987,-19.5516812,7.4875208,90.74823238,2082.888037,2.17116764,4.45596236,1465612509,EGP,-3.43796735,,,,1.86328238,,,6526.945241,1644409596,,,,,0,0,,,,0,0,,,,,,,,,1288994489,,40586385,502419379,219383472,178797087,786575110,,,0.27890976,0.18500202,,,,,,-0.4,-0.8,0,37.74191337,-0.36,-0.86558824,-41.32497186,49.14216499,40.81004865,-0.37443313,-0.43245617,668313,0.88881172
89,ELWA,EL WADI FOR INTERNATIONAL AND INVESTEMENT DEVELOPMENT,,Consumer Services,egypt, ,el-wadi-for-international-and-investement-development,delayed_streaming_900,stock,['common'],,,,,,,,,,,0.741,1000,1,false,0,EGP,2.63157895,18.56,9.2920354,12.4430956,53.73443983,21.875,83.41584158,-8.40543881,-50.90861788,4.80789863,4.70409523,134861999,EGP,71.52777214,,,,0.47998134,,,220.706788,220985668,,,,,0,0,,,,0,0,,,,,,,,,406244044,28740448,791080,125270846,86914749,86123669,280973198,0.23000164,0.22156021,0.30933466,0.00910179,,,,,,0.55757576,0.93333333,0.18181818,67.86947855,0.11,0.00829706,260.7858707,97.70833333,91.28156566,0.00541619,-0.00901603,1065708,1.32118142
90,EMFD,EMAAR MISR FOR DEVELOPMENT,,Finance,egypt,Finance,emaar-misr-for-development,delayed_streaming_900,stock,['common'],,,,,,,,,,,5.41,1000,1,false,0,EGP,0.18518519,10.63394683,-15.60062402,38.36317136,77.37704918,44.65240642,82.77027027,54.57142857,441,4.0215142,7.08801516,24503717297,EGP,84.01359666,,,,0.72303681,,,2.81252528,15401291834,,,,,0,0,,,,0,0,,,,,,,,,82869575818,,14483805205,48979563365,5381379742,-9102425463,33890012453,,,0.15878955,2.69146685,,,,,,-0.13333333,-0.26666667,0,45.6470643,-0.61,-0.76126471,-30.23705854,51.70068027,51.02040816,-0.19888304,-0.2074222,3863765,0.32470797
91,ENGC,ENGINEERING INDUSTRIES (ICON),,Producer Manufacturing,egypt,Producer Manufacturing,engineering-industries-icon,delayed_streaming_900,stock,['common'],,,,,,,,,,,19.9,1000,1,false,0,EGP,0.3530005,2.15605749,-7.69943913,43.99421129,160.4712042,56.07843137,319.6838234,278.9755523,16266.65788,4.37293816,8.60653686,2883809956,EGP,317.2631757,,,,1.92795083,,,8.56282594,4043992668,,,,0,0,0,,,,0,0,,,,,,,,,4435043833,3208048645,338141873,2583030807,1148139709,809997836,1852013026,1.31740544,0.97505992,0.76449473,0.29451283,,,,,,-0.11212121,-0.13333333,-0.09090909,46.15543069,-1.93,-1.70097106,-79.77153433,38.25059102,37.38376359,-0.26840686,-0.01658616,70886,0.14888248
92,EOSB,EL OROUBA SECURITIES BROKERAGE,,Finance,egypt,Finance,el-orouba-securities-brokerage,delayed_streaming_900,stock,['common'],,,,,,,,,,,1.168,1000,1,false,0,EGP,-0.0855432,-0.84889643,-0.84889643,0.60292851,6.27843494,0.60292851,42.61294261,88.38709677,85.89266013,1.76472515,3.09123293,28860999,EGP,43.83393885,,,,4.88539401,,,775.1523609,35982309,,,,,0,0,,,,0,0,,,,,,,,,19287298,,2878690,12234364,10000000,7121310,7052934,,,1.41784965,0.287869,,,,,,0.42424242,0.66666667,0.18181818,50.91653413,0.048,0.00709412,58.20853348,78.0952381,86.88013136,0.00456575,0.00352545,50000,1.07183204
93,EPCO,EGYPT FOR POULTRY,,Process Industries,egypt,Process Industries,egypt-for-poultry,delayed_streaming_900,stock,['common'],,,,,,,,,,,3.75,1000,1,false,0,EGP,0,5.33707865,-21.21848739,-30.68391867,-2.84974093,-29.7752809,35.37906137,103.8043478,972.5317469,2.88990059,7.24178563,158786100,EGP,39.70037207,,,,2.21500295,,,16.77028499,149388361,,,,0,0,0,,,,0,0,,,,,,,,,142684968,102479893,9519069,70492418,0,-9519069,72192550,1.45377185,1.37057141,0,,,,,,,-0.42121212,-0.93333333,0.09090909,33.0051407,-0.27,-0.67991176,-60.08902077,45.25745257,38.74951607,-0.27722013,-0.29772581,102759,0.51506386
94,EPPK,EL AHRAM CO. FOR PRINTING AND PACKING,,Process Industries,egypt,Process Industries,el-ahram-co-for-printing-and-packing,delayed_streaming_900,stock,['common'],,,,,,,,,,,7.52,1000,1,false,0,EGP,1.07526882,-3.95913155,-6.23442566,7.12250712,10.10248902,7.12250712,0.26666667,-14.35079727,212.8318899,3.99508122,4.75645837,65145597,EGP,4.39999854,,,,3.76908349,,,365.93888,122386227,,,,,0,0,,,,0,0,,,,,,,,,117298802,106638458,360500,100698908,57601130,57240630,16599894,1.21710179,1.05757852,3.46996975,0.00625856,,,,,,0.04545455,0,0.09090909,43.60412614,0.08,-0.22582368,-26.8892431,2.77777778,0.92592593,-0.0828939,-0.08514358,50,0.00709492
